2025-07-30 11:38:52 - INFO - app - 📌 기준 시점: 2024-05-08 22:55:00
2025-07-30 11:38:52 - INFO - app - 📆 총 3개 날짜, 36개 시점 생성 완료
2025-07-30 11:38:52 - INFO - app - ✅ Data load skip: 총 3개 파일 저장됨
2025-07-30 11:38:52 - INFO - app - ✅ 데이터 링크변환 skip: 20240508 ~ 20240501, 총 3개 파일 저장됨
2025-07-30 11:39:06 - WARNING - app - 링크 2333664800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330022847 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334263600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333665305 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333127500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333299000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333126900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334260900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333661101 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333226411 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334260300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334264800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333915401 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333282400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334263200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333121500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333303800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333013200 처리 중 오류: 'NoneType' object has no attribute 'loc'
